"","X","median_income","GEO_ID","index","percent_white","percent_in_labor_force","percent_no_available_car","percent_public_trans_commute","life_expectancy","se.e.0..","tree_density","percent_not_alive","avg_tree_diam"
"1201",1200,66056,36081000800,"Census Tract 8, Queens County, New York: Summary level: 140, state:36> county:081> tract:000800",51.4817950889077,51.8769404459498,6.77392040643522,26.6723116003387,80,1.8119,"Medium","Medium","High"
"1202",1201,63862,36081001200,"Census Tract 12, Queens County, New York: Summary level: 140, state:36> county:081> tract:001200",58.5034013605442,52.9011604641857,10.8643457382953,23.8495398159264,83.7,2.8556,"Medium","Medium","High"
"1203",1202,61081,36081001400,"Census Tract 14, Queens County, New York: Summary level: 140, state:36> county:081> tract:001400",48.3469981486379,60.1428193599577,20.841047341973,29.8862734726263,87.7,3.2552,"High","High","High"
"1204",1203,61786,36081001600,"Census Tract 16, Queens County, New York: Summary level: 140, state:36> county:081> tract:001600",60.1418002466091,52.4044389642417,12.731196054254,27.1578298397041,82.1,2.1362,"Medium","High","High"
"1205",1204,62895,36081001800,"Census Tract 18, Queens County, New York: Summary level: 140, state:36> county:081> tract:001800",46.4711007841998,48.0975893116468,11.7920418239907,26.6047051989544,81.5,2.4484,"Medium","High","High"
"1206",1205,117788,36081001900,"Census Tract 19, Queens County, New York: Summary level: 140, state:36> county:081> tract:001900",51.8429003021148,77.0392749244713,41.7522658610272,59.214501510574,82.4,2.69,"Low","Medium","Low"
"1207",1206,77321,36081002000,"Census Tract 20, Queens County, New York: Summary level: 140, state:36> county:081> tract:002000",27.2307692307692,51.8461538461538,4.25641025641026,29.4358974358974,81,3.3329,"High","Low","High"
"1208",1207,58333,36081002200,"Census Tract 22, Queens County, New York: Summary level: 140, state:36> county:081> tract:002200",44.5362718089991,52.8466483011938,9.13682277318641,26.7217630853995,82.2,2.109,"High","High","Medium"
"1209",1208,60506,36081002400,"Census Tract 24, Queens County, New York: Summary level: 140, state:36> county:081> tract:002400",34.6795434591747,54.828797190518,10.8867427568042,30.2897278314311,80.4,2.2421,"Medium","High","Medium"
"1210",1209,16584,36081002500,"Census Tract 25, Queens County, New York: Summary level: 140, state:36> county:081> tract:002500",21.2765957446809,39.5963704630788,24.5306633291614,25.9543178973717,75.3,2.0309,"Low","Medium","High"
